Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2001,Samuel Ortiz,18,Male,Houston,2026-06-28,105.0
2002,Michael White,28,Male,Los Angeles,2026-06-30,255.0
2003,Allison Rivera,23,Female,Fort Worth,2025-04-19,230.5
2004,Alexander King,25,Male,Denver,2023-09-04,820.4
2005,Grayson Clark,28,Male,Austin,2024-09-27,750.4
2006,Henry Flores,25,Male,Austin,2025-12-17,202.5
2007,Paisley Reed,49,Female,Cleveland,2023-08-27,445.25
2008,Genesis Turner,27,Female,San Jose,2024-07-02,1781.77
2009,Layla Morris,18,Female,Tampa,2025-12-23,129.0
2010,Lincoln Lopez,32,Male,Detroit,2024-01-03,2285.5
2011,Hazel Green,42,Female,Seattle,2023-05-01,130.0
2012,Aaron Hernandez,35,Male,Nashville,2026-05-02,38.25
2013,Ivy Rogers,25,Female,Baltimore,2024-12-07,170.0
2014,William Cruz,18,Male,Miami,2024-03-18,53.8
2015,Olivia Kelly,18,Female,Las Vegas,2024-04-11,1239.37
2016,Isaac Ward,39,Male,Charlotte,2024-02-21,1160.0
2017,Thomas Gutierrez,27,Male,Baltimore,2026-05-15,80.0
2018,Savannah Allen,36,Female,Minneapolis,2025-03-22,202.0
2019,Hazel Torres,34,Female,Cleveland,2026-01-16,228.0
2020,Lucas Lee,43,Male,Miami,2024-01-19,1578.15
2021,Kennedy Diaz,53,Female,Fort Worth,2023-09-20,21.6
2022,Theo Brown,41,Male,Fort Worth,2026-02-17,42.95
2023,Willow Flores,44,Female,Atlanta,2026-04-13,255.0
2024,Nathan Richardson,30,Male,Dallas,2025-08-21,439.5
2025,Sofia Phillips,28,Female,Charlotte,2024-01-11,599.75
2026,Anthony Peterson,37,Male,Nashville,2023-08-13,843.25
2027,James Cruz,44,Male,San Antonio,2023-09-18,208.4
2028,Madison Roberts,37,Female,Columbus,2024-06-04,96.0
2029,Amelia Morales,44,Female,Portland,2023-10-29,475.5
2030,Emma Jones,33,Female,New York,2025-01-20,2287.75
2031,Daniel Moore,45,Male,Dallas,2024-11-08,725.5
2032,Jack Richardson,30,Male,Houston,2026-02-06,557.5
2033,Jack Green,27,Male,Fort Worth,2023-01-28,5049.2
2034,Aria Hernandez,49,Female,San Diego,2026-03-30,1028.0
2035,Genesis Ward,31,Female,Boston,2026-03-08,367.87
2036,Lucy Martinez,32,Female,Baltimore,2025-05-09,722.1
2037,Quinn Anderson,43,Female,Phoenix,2025-05-24,1182.0
2038,Sophie Scott,26,Female,Minneapolis,2026-05-23,390.6
2039,Allison Cox,36,Female,Cleveland,2024-04-12,1248.35
2040,Ruby Howard,29,Female,New York,2025-06-06,1042.5
2041,Layla Harris,33,Female,Detroit,2025-05-19,4124.75
2042,Mason Kelly,42,Male,Chicago,2024-06-03,1496.9
2043,Caroline Cook,18,Female,Charlotte,2025-02-22,1049.8
2044,James Hill,36,Male,San Jose,2024-01-18,92.5
2045,Jacob Morales,47,Male,Jacksonville,2025-05-11,787.38
2046,Mason Green,33,Male,San Antonio,2023-03-20,2084.5
2047,Naomi Harris,31,Female,Minneapolis,2024-02-12,2678.5
2048,Skylar Wilson,48,Female,Jacksonville,2025-04-06,1212.4
2049,Diana Peterson,42,Female,Phoenix,2023-02-08,6620.75
2050,Elias Cook,37,Male,San Jose,2023-01-21,2765.75
2051,Maya Hall,45,Female,Orlando,2023-02-11,542.1
2052,Quinn Hernandez,29,Female,Phoenix,2025-12-29,1525.15
2053,Genesis Lopez,35,Female,Tampa,2024-11-12,1319.5
2054,Aaron Morgan,19,Male,San Jose,2026-05-16,753.0
2055,Joseph Green,38,Male,Minneapolis,2024-09-17,355.0
2056,Stella Wright,32,Female,Philadelphia,2024-12-16,280.0
2057,Jack Johnson,31,Male,San Jose,2025-12-31,91.5
2058,Isaiah Stewart,34,Male,Dallas,2023-05-19,2065.65
2059,Dylan Cox,21,Male,Portland,2026-05-31,96.0
2060,Audrey Martin,40,Female,San Jose,2023-04-13,671.52
2061,Caleb Howard,24,Male,Fort Worth,2025-07-18,1330.75
